C,penalty,solver,class_weight,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_precision_mean,cv_recall_mean,train_accuracy_mean,train_accuracy_std,overfitting_gap
0.001,l2,lbfgs,balanced,0.6641065456282848,0.05101116100697162,0.6681511658452559,0.054752064830781565,0.7276625295508274,0.04409719765090873,0.68093533925802,0.6602836879432624,0.7105512737507131,0.0055309061409996845,0.04644472812242839
0.01,l2,lbfgs,balanced,0.6705805064500716,0.04702677113382171,0.6756214588506277,0.042535424494496224,0.7468692913174296,0.045665285931974525,0.6906773976020808,0.6666666666666667,0.7808145086665899,0.005058888841922846,0.11023400221651825
0.1,l2,lbfgs,balanced,0.6705566172957478,0.057035936289300634,0.6787198824180475,0.04941333408359297,0.7275563480550182,0.06351721146070027,0.6866111593952992,0.6730939716312057,0.885118387715704,0.0055908937457782165,0.21456177041995617
1.0,l2,lbfgs,balanced,0.6398709985666506,0.07014923154522441,0.647070395209567,0.07013710192877885,0.6919414222007308,0.06915326713346684,0.6535890515473279,0.6433510638297872,0.9634075677081949,0.004442162789333814,0.3235365691415443
10.0,l2,lbfgs,balanced,0.6201743908265647,0.06933092839115343,0.6288980249253574,0.06920426393085959,0.6623738045347087,0.0686290857839222,0.6336922726518643,0.6263297872340426,0.993191930300692,0.0015582431026714872,0.3730175394741273
100.0,l2,lbfgs,balanced,0.6169732441471572,0.052966491062304916,0.6240678563010846,0.05639565451533817,0.6524820680206319,0.06269620602966473,0.6313001707389859,0.6199468085106383,0.993191930300692,0.0015582431026714872,0.3762186861535348
0.01,l1,liblinear,balanced,0.5930602006688963,0.037763662409773496,0.5924207752440589,0.048827540846095766,0.6434355523318289,0.05209614537958498,0.6111292884298698,0.5773936170212766,0.625821204837799,0.010139903416920506,0.03276100416890271
0.1,l1,liblinear,balanced,0.6509555661729575,0.034385149518017494,0.6456428786120207,0.033232732948115185,0.7219857484418656,0.04778809510415191,0.679145933823615,0.6178191489361702,0.731823516716777,0.009281992864624874,0.08086795054381957
1.0,l1,liblinear,balanced,0.6486383182035357,0.06161628855689618,0.657039231116318,0.06058290475413901,0.6952300934880723,0.06916057080219286,0.661867210257945,0.6539450354609928,0.9211031387748223,0.0064040776136603805,0.2724648205712866
